MUNICÍPIO;ESTADO;ISOPLETA
PRESIDENTE KENNEDY;ESPÍRITO SANTO;35m/s
RIO BANANAL;ESPÍRITO SANTO;35m/s
RIO NOVO DO SUL;ESPÍRITO SANTO;35m/s
SANTA LEOPOLDINA;ESPÍRITO SANTO;35m/s
SANTA MARIA DE JETIBÁ;ESPÍRITO SANTO;35m/s
SANTA TERESA;ESPÍRITO SANTO;35m/s
SÃO DOMINGOS DO NORTE;ESPÍRITO SANTO;35m/s
SÃO GABRIEL DA PALHA;ESPÍRITO SANTO;35m/s
SÃO JOSÉ DO CALÇADO;ESPÍRITO SANTO;35m/s
SÃO MATEUS;ESPÍRITO SANTO;30m/s
SÃO ROQUE DO CANAÃ;ESPÍRITO SANTO;35m/s
SERRA;ESPÍRITO SANTO;35m/s
SOORETAMA;ESPÍRITO SANTO;35m/s
VARGEM ALTA;ESPÍRITO SANTO;35m/s
VENDA NOVA DO IMIGRANTE;ESPÍRITO SANTO;35m/s
VIANA;ESPÍRITO SANTO;35m/s
VILA PAVÃO;ESPÍRITO SANTO;30m/s
VILA VALÉRIO;ESPÍRITO SANTO;30m/s
VILA VELHA;ESPÍRITO SANTO;35m/s
VITÓRIA;ESPÍRITO SANTO;35m/s
ABADIA DE GOIÁS;GOIÁS;35m/s
ABADIÂNIA;GOIÁS;30m/s
ACREÚNA;GOIÁS;35m/s
ADELÂNDIA;GOIÁS;30m/s
ÁGUA FRIA DE GOIÁS;GOIÁS;30m/s
ÁGUA LIMPA;GOIÁS;35m/s
ÁGUAS LINDAS DE GOIÁS;GOIÁS;35m/s
ALEXÂNIA;GOIÁS;30m/s
ALOÂNDIA;GOIÁS;35m/s
ALTO HORIZONTE;GOIÁS;30m/s
ALTO PARAÍSO DE GOIÁS;GOIÁS;30m/s
ALVORADA DO NORTE;GOIÁS;30m/s
AMARALINA;GOIÁS;30m/s
AMERICANO DO BRASIL;GOIÁS;30m/s
AMORINÓPOLIS;GOIÁS;35m/s
ANÁPOLIS;GOIÁS;30m/s
ANHANGUERA;GOIÁS;35m/s
ANICUNS;GOIÁS;30m/s
APARECIDA DE GOIÂNIA;GOIÁS;35m/s
APARECIDA DO RIO DOCE;GOIÁS;35m/s
APORÉ;GOIÁS;35m/s
ARAÇU;GOIÁS;30m/s
ARAGARÇAS;GOIÁS;30m/s
ARAGOIÂNIA;GOIÁS;35m/s
ARAGUAPAZ;GOIÁS;30m/s
ARENÓPOLIS;GOIÁS;35m/s
ARUANÃ;GOIÁS;30m/s
AURILÂNDIA;GOIÁS;35m/s
AVELINÓPOLIS;GOIÁS;30m/s
BALIZA;GOIÁS;35m/s
BARRO ALTO;GOIÁS;30m/s
BELA VISTA DE GOIÁS;GOIÁS;35m/s
BOM JARDIM DE GOIÁS;GOIÁS;35m/s
BOM JESUS DE GOIÁS;GOIÁS;35m/s
BONFINÓPOLIS;GOIÁS;35m/s
BONÓPOLIS;GOIÁS;30m/s
BRASÍLIA;GOIÁS;35m/s
BRA
